,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,V1,V2,V3,V4,V5,V6,Sell Price
0,0.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7324151626443776,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
1,1.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7240895845480144,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
2,2.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7157640064516513,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
3,3.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7074384283552881,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
4,4.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.699112850258925,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
5,5.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.690787272162562,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
6,6.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6824616940661988,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
7,7.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6741361159698357,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
8,8.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6658105378734726,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
9,9.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6574849597771094,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
